player,base_price,type,cost_in_₹_(cr.),cost_in_$_(000),2022_squad,team,base_price_in_₹,base_price_in_$,base_price_status,base_price_status_$
Shivam Mavi,4000000,BOWLER,6.0,720.0,KKR,Gujarat Titans,0,0,Not Declared,Not Declared
Joshua Little,5000000,BOWLER,4.4,528.0,Not in Squad,Gujarat Titans,0,0,Not Declared,Not Declared
Kane Williamson,20000000,BATSMAN,2.0,240.0,SRH,Gujarat Titans,0,0,Not Declared,Not Declared
K.S. Bharat,2000000,WICKETKEEPER,1.2,144.0,DC,Gujarat Titans,0,0,Not Declared,Not Declared
Mohit Sharma,5000000,BOWLER,0.5,60.0,Not in Squad,Gujarat Titans,0,0,Not Declared,Not Declared
Odean Smith,5000000,ALL-ROUNDER,0.5,60.0,PBKS,Gujarat Titans,0,0,Not Declared,Not Declared
Urvil Patel,2000000,WICKETKEEPER,0.2,24.0,Not in Squad,Gujarat Titans,0,0,Not Declared,Not Declared
Rahul Tewatia,Retained,ALL-ROUNDER,0.0,0.0,GT,Gujarat Titans,0,0,Not Declared,Not Declared
Pradeep Sangwan,Retained,ALL-ROUNDER,0.0,0.0,GT,Gujarat Titans,0,0,Not Declared,Not Declared
Rashid Khan,Retained,BOWLER,0.0,0.0,GT,Gujarat Titans,0,0,Not Declared,Not Declared
R. Sai Kishore,Retained,BOWLER,0.0,0.0,GT,Gujarat Titans,0,0,Not Declared,Not Declared
Yash Dayal,Retained,BOWLER,0.0,0.0,GT,Gujarat Titans,0,0,Not Declared,Not Declared
Noor Ahmad,Retained,BOWLER,0.0,0.0,GT,Gujarat Titans,0,0,Not Declared,Not Declared
Wriddhiman Saha,Retained,WICKETKEEPER,0.0,0.0,GT,Gujarat Titans,0,0,Not Declared,Not Declared
Vijay Shankar,Retained,ALL-ROUNDER,0.0,0.0,GT,Gujarat Titans,0,0,Not Declared,Not Declared
Shubman Gill,Retained,BATSMAN,0.0,0.0,GT,Gujarat Titans,0,0,Not Declared,Not Declared
Hardik Pandya,Retained,ALL-ROUNDER,0.0,0.0,GT,Gujarat Titans,0,0,Not Declared,Not Declared
